artistId	channelId	Recently Uploaded Videos	Upload Times
30	UCjU45NzMuIHgXCTJaMf0Rdg	[u'odfJV7_0qpM']	[u'2010-06-08T19:33:01.000Z']
57	UC0iYPVu2agNaaqbnHFPCBFQ	[u'DrbSzoixYGw', u'pr-D22CmDeE', u'yPTvPocfZ0M']	[u'2014-12-11T15:35:36.000Z', u'2014-10-24T16:20:56.000Z', u'2014-10-17T16:11:37.000Z']
87	UCyduOPMIl8N6vlyJxRo2v7g	[]	[]
95	UC58iZEkGZi7ETeXizx_03vg	[u'Zj6UCYObwgI', u'r_Uq8l1uyT8', u'G4QJ5ggLmuA', u'ohyO5Ajxeic', u'ETveSevJ99g']	[u'2014-11-21T17:00:31.000Z', u'2014-11-08T15:00:22.000Z', u'2014-11-05T17:00:20.000Z', u'2014-10-07T17:00:05.000Z', u'2014-10-01T17:00:05.000Z']
113	UCD58rE0B2PDe3se2nCv1yRA	[u'KDg0P_HIRr0', u'8Mu9oQEYl3E', u'1bJuKsxGZJc', u'SJPFfpiI4ZQ', u'alPZe4yXGnE']	[u'2014-12-11T08:00:02.000Z', u'2014-11-26T08:00:03.000Z', u'2014-11-19T08:00:06.000Z', u'2014-04-14T18:56:27.000Z', u'2014-04-14T18:43:20.000Z']
136	UCn9i4cdLe14CbsOycTbKMoA	[u'JSjU_K7wMhU', u'BKe1DDNsINw', u'v9ts8sgIY5A', u'vOBJPnQRr6k', u'0woCFZbQxfU']	[u'2014-12-13T13:41:36.000Z', u'2014-12-13T13:41:34.000Z', u'2014-12-13T13:41:24.000Z', u'2014-12-13T13:40:40.000Z', u'2014-12-13T13:40:22.000Z']
156	UCf0pcytyiYVYy3UOs52nsQg	[u'z3W7aY6P3zs', u'8cxDGRwZPi8']	[u'2014-06-09T10:52:02.000Z', u'2014-04-07T11:19:38.000Z']
202	UCkkiTV-Lnt-m3DQp-ZeFdkA	[u'VlGzejeX-Pk', u'x5Dpz6w_jz4', u'v5mv2T4EBW0', u'vDZ37LQCFOQ', u'hqxbSggZ-vI']	[u'2014-09-22T13:15:41.000Z', u'2014-09-02T14:30:10.000Z', u'2014-08-04T17:04:12.000Z', u'2014-08-04T17:03:46.000Z', u'2014-08-04T17:03:46.000Z']
210	UC1ZJB8MepA7B7zQE8TmzQdQ	[u'ifiFckmNV9o', u'byH-eq_1TFU', u'YJU7sLEpsH0']	[u'2014-12-06T16:52:03.000Z', u'2014-11-28T14:48:55.000Z', u'2014-06-05T14:35:14.000Z']
233	UCNER_dFN9rDmQ7ZrTE0LXcg	[u'6RlVgkSP1U8', u'xa3xAF2emOE', u'sAb0Ts_LMyA', u'nneYpx5bk60', u'oYJtcfGZLqY']	[u'2014-11-04T17:45:23.000Z', u'2014-11-04T17:44:52.000Z', u'2014-06-24T17:04:50.000Z', u'2014-04-24T04:34:16.000Z', u'2011-07-28T00:44:52.000Z']
267	UCi6lEAeZjgyVkg7XgFUZfUg	[]	[]
283	UCQv0bxIpI_K0zmmCBTOttAQ	[u'RnCNA1vvuAQ', u'aSGPQyKjldU', u'2KH29rJptSk', u'am36ISg_rkc']	[u'2014-11-21T00:50:05.000Z', u'2014-10-23T22:35:48.000Z', u'2014-09-11T13:27:18.000Z', u'2014-09-05T20:29:23.000Z']
300	UCgcoBtYryju2lCbaJmS62Cg	[u'8_JN-4u2YR0', u'YHM3noO5HMs']	[u'2014-12-13T13:39:01.000Z', u'2014-12-10T14:02:24.000Z']
373	UCkZu0HAGinESFynhe3R4hxQ	[u'HKH3C3b2HzU', u'3evNvtbgojk', u'H7T_9Yt9f2U', u'RmUG1ffgKFw']	[u'2014-11-11T09:45:54.000Z', u'2014-10-28T15:02:28.000Z', u'2014-09-24T12:00:03.000Z', u'2014-02-28T08:00:01.000Z']
391	UCXExK7We8VKsIzFFQYNEgBg	[]	[]
421	UCV-vTNBvc98cYqUG2vhR6bw	[u'JzfXD5igRDM', u'mWDMabFtauc', u'frVoGJhoehk', u'tx5J3F037EU', u'SJGy-hjRjCE']	[u'2013-06-14T07:01:55.000Z', u'2013-06-12T15:42:49.000Z', u'2013-06-07T07:00:18.000Z', u'2013-06-03T07:00:06.000Z', u'2013-05-29T07:00:31.000Z']
444	UC7fzrpTArAqDHuB3Hbmd_CQ	[u'eRdYSDSYTVY']	[u'2012-05-24T18:24:22.000Z']
468	UCmXsU1Qz_5p-84-20E7rKSg	[u'eJwLcFgWR8c', u'WDQneEBBy7M', u'Z8QcwjdrTM8', u'FzB3DKFsZ2M']	[u'2013-12-03T16:25:38.000Z', u'2012-11-21T15:09:47.000Z', u'2012-07-12T10:53:31.000Z', u'2012-06-14T15:57:49.000Z']
526	UCg9DnsCfkYclCv8Pc37lVXA	[]	[]
558	UCjrmOpAoZ3CGRr-fgDd2Jfw	[]	[]
626	UCmPuJ2BltKsGE2966jLgCnw	[u'2GnSszyq4mI', u'_NdHySPJr8I', u'jNhBogR0b5c', u'klrYlnkImHA', u'TT8e7i0ccLQ']	[u'2014-12-10T08:00:03.000Z', u'2014-11-24T05:01:00.000Z', u'2014-11-18T22:37:59.000Z', u'2014-11-17T05:01:00.000Z', u'2014-11-11T20:00:08.000Z']
656	UCEd8B1sHMMV35f810m4Rakw	[u'7Swx0fkVzoQ', u'n2Pg3bwy-9Y', u'1qEbsG2AlNk', u'DkO_PargTd4', u'Jt3Kw6NTIz0']	[u'2010-03-09T10:45:13.000Z', u'2009-08-25T09:03:19.000Z', u'2009-08-25T07:12:39.000Z', u'2009-08-25T07:09:44.000Z', u'2009-08-25T07:05:44.000Z']
718	UC3SF_Sa_dVWQ09m88nvsXrg	[]	[]
749	UCsKULr2K0JSPUfMZOVzQ4DQ	[u'NoA_f7H-g1Y', u'FPknfkbbvB0', u'KinerYiAaZw', u'ZzkOTRjjTrc', u'11fv2Om-lbM']	[u'2014-04-02T19:57:53.000Z', u'2013-05-15T22:37:00.000Z', u'2012-12-25T22:55:37.000Z', u'2012-12-25T22:49:59.000Z', u'2012-12-12T21:50:29.000Z']
822	UC7vCWZl5sxnicsqEV1YjZUA	[u'USghc3QC9cc', u'Fk0kuSJXMy0', u'-RsGQu8WevA']	[u'2014-10-07T11:37:14.000Z', u'2014-08-11T08:58:35.000Z', u'2014-0artistId	channelId	Recently Uploaded Videos	Upload Times
13	UCnRI0ay61tY-fKYzzB3fCnw	[u'S95Grz2Jad4', u'uHabUwIlzh8', u'QG10s5dUdP8', u'v7USJs-CfVg', u'Rxj0GQ4YO78']	[u'2014-12-08T15:50:29.000Z', u'2014-12-06T02:20:12.000Z', u'2014-11-24T19:45:49.000Z', u'2013-11-19T23:07:54.000Z', u'2013-10-15T20:05:54.000Z']
49	UCq19-LqvG35A-30oyAiPiqA	[u'McuHVXgR8dA', u'XuDcsKDGGHM', u'fqbTyY3CEyI', u'R2Dxy-Y62r0', u'fMnh5Tn8aeM']	[u'2011-12-19T12:59:14.000Z', u'2011-12-19T12:56:50.000Z', u'2011-11-18T14:25:47.000Z', u'2011-11-18T13:49:58.000Z', u'2011-11-18T13:35:06.000Z']
64	UCbulh9WdLtEXiooRcYK7SWw	[u'LFX6IA_4hH8']	[u'2014-11-26T18:09:16.000Z']
96	UCb0vzLwvr7xbJgdqMzejDhw	[]	[]
121	UC4gPNusMDwx2Xm-YI35AkCA	[u'u9PdFEKwtkY', u'cszigsFaChc', u'340mzKCcmR4', u'L2Ltsm8F2LE', u'w725PLfgKNc']	[u'2014-12-08T17:22:09.000Z', u'2014-11-27T18:06:38.000Z', u'2014-11-14T20:44:54.000Z', u'2014-09-13T15:24:25.000Z', u'2014-04-28T16:37:50.000Z']
145	UCZjBqZjGsmI5OAVsLSroaWQ	[u'hqkFLN4Xt-8', u'fR5-wQYbXZE', u'sHNBxd4LnDs', u'o5wSL8533rY', u'aZKk7mEGfXo']	[u'2014-12-09T15:01:15.000Z', u'2014-12-06T20:06:12.000Z', u'2014-10-25T02:52:06.000Z', u'2014-10-17T13:26:05.000Z', u'2014-10-08T20:35:56.000Z']
170	UC90vR_MFeheV3V6nmjvXIng	[u'J6Ultrw6nN8', u'-_3dc6X-Iwo']	[u'2014-11-19T02:26:49.000Z', u'2014-11-19T00:21:49.000Z']
203	UCtIYTI_uFP0kdFqZJeFc0Ew	[u'qEbnhrer1qs', u'y3XLrDK-PqQ', u'g7GIndQ26C4', u'5UHXoZCFmVs', u'j0RtBPdx97I']	[u'2014-11-18T13:19:55.000Z', u'2014-10-24T20:53:04.000Z', u'2014-10-16T17:53:16.000Z', u'2014-10-09T17:48:31.000Z', u'2014-10-02T20:26:38.000Z']
213	UCyX_6rb1qlRRjVRfge5_d2g	[u'fPAmouTu8AY', u'_UF1A7MW6gg', u'rP-wWzkz6l8', u'1mTANKAkfaw', u'rlOq_LVrgnc']	[u'2014-04-08T16:52:51.000Z', u'2014-03-01T04:06:49.000Z', u'2013-07-22T20:37:27.000Z', u'2013-07-02T20:26:27.000Z', u'2013-06-22T11:36:25.000Z']
